iter	Passed	Remaining
0	2	2524
1	6	3229
2	10	3342
3	13	3316
4	16	3322
5	20	3373
6	23	3385
7	28	3572
8	32	3574
9	36	3569
10	39	3547
11	42	3486
12	45	3436
13	48	3425
14	51	3405
15	55	3397
16	58	3363
17	61	3344
18	64	3311
19	67	3303
20	70	3290
21	73	3275
22	76	3266
23	85	3465
24	98	3836
25	101	3819
26	106	3835
27	110	3822
28	113	3783
29	116	3769
30	120	3757
31	123	3732
32	126	3709
33	129	3683
34	132	3661
35	135	3638
36	138	3617
37	142	3608
38	145	3594
39	148	3570
40	151	3549
41	155	3535
42	158	3524
43	161	3499
44	164	3483
45	167	3471
46	170	3456
47	173	3438
48	176	3434
49	181	3439
50	184	3440
51	188	3440
52	191	3425
53	195	3417
54	198	3407
55	201	3394
56	204	3379
57	214	3485
58	225	3595
59	228	3584
60	232	3575
61	235	3562
62	239	3561
63	245	3592
64	260	3742
65	263	3725
66	268	3741
67	271	3725
68	274	3704
69	277	3686
70	280	3664
71	282	3645
72	285	3625
73	288	3609
74	291	3590
75	293	3567
76	296	3549
77	298	3532
78	301	3514
79	304	3496
80	306	3478
81	308	3455
82	311	3437
83	313	3416
84	316	3406
85	319	3397
86	322	3387
87	326	3381
88	343	3520
89	362	3663
90	364	3644
91	367	3626
92	369	3605
93	371	3584
94	374	3568
95	377	3552
96	379	3536
97	382	3517
98	384	3499
99	386	3482
100	389	3463
101	391	3447
102	394	3433
103	396	3416
104	398	3400
105	401	3383
106	403	3368
107	405	3352
108	407	3335
109	410	3319
110	412	3301
111	414	3287
112	416	3273
113	419	3260
114	422	3249
115	424	3235
116	426	3222
117	434	3245
118	437	3235
119	439	3224
120	442	3211
121	444	3200
122	447	3189
123	449	3177
124	452	3164
125	454	3150
126	456	3139
127	459	3127
128	461	3117
129	464	3106
130	466	3095
131	469	3084
132	471	3073
133	473	3062
134	476	3051
135	478	3042
136	481	3034
137	484	3025
138	487	3018
139	490	3011
140	493	3004
141	495	2992
142	498	2986
143	501	2978
144	503	2971
145	506	2964
146	509	2957
147	512	2953
148	515	2942
149	518	2935
150	520	2927
151	523	2919
152	525	2911
153	528	2902
154	530	2893
155	533	2887
156	536	2878
157	539	2872
158	541	2864
159	544	2857
160	546	2850
161	549	2843
162	551	2834
163	554	2825
164	556	2817
165	559	2809
166	561	2802
167	564	2794
168	566	2786
169	569	2779
170	571	2771
171	574	2763
172	576	2754
173	578	2747
174	596	2813
175	599	2805
176	601	2797
177	604	2790
178	606	2782
179	609	2774
180	611	2766
181	613	2759
182	616	2751
183	618	2742
184	621	2737
185	624	2731
186	631	2744
187	644	2783
188	646	2776
189	649	2769
190	652	2762
191	654	2754
192	656	2746
193	659	2738
194	661	2730
195	663	2722
196	666	2715
197	668	2708
198	670	2699
199	673	2692
200	675	2685
201	677	2677
202	680	2669
203	682	2662
204	684	2655
205	687	2650
206	690	2644
207	692	2638
208	695	2631
209	697	2624
210	700	2617
211	702	2611
212	705	2606
213	708	2601
214	710	2595
215	713	2589
216	715	2582
217	718	2577
218	721	2573
219	724	2566
220	726	2561
221	729	2556
222	732	2551
223	735	2548
224	737	2541
225	740	2535
226	743	2531
227	745	2525
228	748	2520
229	750	2513
230	752	2506
231	755	2500
232	757	2493
233	759	2487
234	762	2481
235	764	2476
236	767	2469
237	769	2463
238	772	2458
239	774	2452
240	777	2447
241	780	2443
242	782	2437
243	784	2431
244	787	2426
245	790	2422
246	792	2416
247	795	2411
248	797	2405
249	799	2399
250	802	2394
251	804	2389
252	807	2383
253	809	2377
254	811	2371
255	814	2366
256	816	2360
257	819	2356
258	822	2351
259	824	2347
260	827	2342
261	829	2337
262	832	2332
263	850	2371
264	853	2367
265	856	2362
266	858	2357
267	861	2352
268	863	2346
269	866	2342
270	868	2336
271	886	2372
272	889	2367
273	891	2362
274	894	2357
275	896	2352
276	899	2348
277	902	2343
278	904	2338
279	907	2333
280	909	2328
281	912	2323
282	915	2319
283	918	2314
284	920	2309
285	923	2304
286	925	2299
287	927	2294
288	930	2289
289	932	2283
290	935	2278
291	937	2273
292	940	2270
293	943	2265
294	945	2260
295	948	2255
296	950	2249
297	952	2243
298	954	2238
299	957	2234
300	960	2230
301	963	2226
302	965	2220
303	968	2216
304	970	2210
305	972	2205
306	975	2201
307	977	2197
308	980	2192
309	982	2187
310	985	2182
311	987	2177
312	989	2172
313	992	2167
314	994	2163
315	997	2159
316	1000	2155
317	1002	2150
318	1005	2145
319	1007	2140
320	1009	2135
321	1012	2132
322	1015	2127
323	1017	2123
324	1020	2118
325	1022	2114
326	1025	2109
327	1027	2105
328	1030	2101
329	1048	2127
330	1050	2123
331	1053	2119
332	1055	2114
333	1058	2110
334	1060	2105
335	1063	2100
336	1065	2096
337	1068	2092
338	1070	2087
339	1073	2083
340	1075	2078
341	1078	2074
342	1080	2069
343	1082	2064
344	1085	2060
345	1087	2055
346	1090	2051
347	1093	2048
348	1095	2043
349	1098	2039
350	1100	2034
351	1102	2030
352	1105	2025
353	1108	2022
354	1111	2019
355	1128	2040
356	1130	2036
357	1133	2033
358	1136	2029
359	1138	2024
360	1140	2019
361	1143	2015
362	1146	2011
363	1149	2007
364	1151	2003
365	1153	1998
366	1155	1993
367	1158	1989
368	1160	1985
369	1163	1981
370	1165	1976
371	1168	1972
372	1171	1968
373	1173	1964
374	1176	1960
375	1178	1955
376	1180	1951
377	1183	1947
378	1185	1942
379	1188	1938
380	1190	1934
381	1193	1930
382	1195	1925
383	1197	1921
384	1199	1916
385	1202	1912
386	1204	1908
387	1207	1903
388	1209	1899
389	1211	1895
390	1213	1890
391	1216	1886
392	1219	1883
393	1221	1879
394	1224	1875
395	1226	1870
396	1229	1866
397	1231	1862
398	1233	1858
399	1235	1853
400	1238	1849
401	1240	1845
402	1243	1841
403	1245	1838
404	1248	1834
405	1251	1830
406	1253	1826
407	1256	1822
408	1258	1818
409	1261	1814
410	1263	1811
411	1266	1808
412	1269	1804
413	1271	1799
414	1274	1796
415	1276	1792
416	1278	1788
417	1281	1783
418	1283	1780
419	1286	1776
420	1289	1773
421	1291	1769
422	1294	1766
423	1297	1762
424	1299	1758
425	1301	1754
426	1304	1750
427	1306	1746
428	1309	1742
429	1312	1739
430	1329	1755
431	1348	1773
432	1352	1771
433	1355	1767
434	1358	1763
435	1360	1759
436	1362	1755
437	1365	1751
438	1367	1748
439	1370	1743
440	1372	1739
441	1374	1735
442	1377	1731
443	1379	1727
444	1382	1724
445	1384	1720
446	1387	1716
447	1389	1711
448	1391	1707
449	1393	1703
450	1396	1699
451	1398	1695
452	1401	1692
453	1403	1688
454	1406	1684
455	1408	1680
456	1411	1676
457	1414	1674
458	1416	1670
459	1419	1666
460	1421	1662
461	1423	1657
462	1426	1653
463	1428	1650
464	1430	1646
465	1433	1642
466	1435	1638
467	1437	1634
468	1440	1631
469	1443	1627
470	1445	1623
471	1448	1619
472	1450	1615
473	1452	1612
474	1455	1608
475	1457	1604
476	1460	1600
477	1462	1596
478	1464	1593
479	1467	1589
480	1469	1585
481	1472	1581
482	1489	1594
483	1492	1590
484	1494	1586
485	1496	1583
486	1499	1579
487	1502	1576
488	1504	1572
489	1507	1568
490	1509	1564
491	1511	1561
492	1514	1557
493	1532	1570
494	1535	1566
495	1538	1563
496	1546	1565
497	1559	1571
498	1561	1568
499	1564	1564
500	1567	1560
501	1569	1556
502	1575	1556
503	1589	1564
504	1592	1560
505	1594	1556
506	1597	1552
507	1599	1549
508	1602	1545
509	1605	1542
510	1607	1538
511	1624	1548
512	1627	1544
513	1629	1540
514	1631	1536
515	1634	1533
516	1637	1529
517	1639	1525
518	1641	1521
519	1643	1517
520	1646	1513
521	1648	1509
522	1651	1506
523	1653	1502
524	1656	1498
525	1658	1494
526	1660	1490
527	1663	1486
528	1665	1482
529	1683	1492
530	1697	1499
531	1704	1499
532	1707	1495
533	1709	1491
534	1712	1488
535	1714	1484
536	1717	1480
537	1719	1476
538	1722	1473
539	1724	1469
540	1727	1465
541	1729	1461
542	1732	1457
543	1735	1454
544	1737	1450
545	1740	1447
546	1742	1443
547	1745	1439
548	1748	1436
549	1751	1432
550	1753	1429
551	1756	1425
552	1758	1421
553	1761	1417
554	1763	1414
555	1766	1410
556	1768	1406
557	1771	1402
558	1773	1399
559	1775	1395
560	1778	1391
561	1780	1387
562	1783	1384
563	1785	1380
564	1788	1376
565	1790	1372
566	1792	1369
567	1795	1365
568	1797	1361
569	1800	1358
570	1802	1354
571	1805	1350
572	1807	1346
573	1809	1343
574	1811	1339
575	1814	1335
576	1829	1341
577	1831	1337
578	1834	1333
579	1836	1330
580	1839	1326
581	1841	1322
582	1844	1319
583	1847	1315
584	1849	1311
585	1851	1308
586	1854	1304
